# ----------------------------------------
# views by country
# Account: OTexts
# Property: OTexts.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20210101
# End date: 20260106
Country,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Åland Islands,4,2,2,22.5,15,0,0
Zimbabwe,9044,1983,4.560766515380736,175.7528996469995,30505,0,0
Zambia,4239,1173,3.6138107416879794,137.8542199488491,14581,0,0
Yemen,1468,194,7.56701030927835,134.77835051546393,4491,0,0
Western Sahara,100,22,4.545454545454546,178.6818181818182,329,0,0
Vietnam,468425,32035,14.622288122366163,443.30607148431403,1472204,0,0
Venezuela,16438,1426,11.5273492286115,362.46984572230014,51444,0,0
Vanuatu,57,17,3.3529411764705883,134,200,0,0
Uzbekistan,11254,1446,7.782849239280774,224.7966804979253,36267,0,0
Uruguay,14151,1333,10.615903975993998,337.95723930982746,45200,0,0
United States,5837205,566943,10.295929220397818,335.2424053211698,18517886,0,0
United Kingdom,1268273,130039,9.753020247771822,309.4935057944155,4063733,0,0
United Arab Emirates,55025,7241,7.599088523684574,267.8928324817014,178752,0,0
Ukraine,90771,6930,13.098268398268399,405.25021645021644,286268,0,0
Uganda,13926,1811,7.6896742131419105,322.4688017669796,44806,0,0
U.S. Virgin Islands,150,35,4.285714285714286,222.9142857142857,525,0,0
U.S. Outlying Islands,1,1,1,0,6,0,0
Türkiye,204439,20912,9.776157230298393,329.061973986228,650790,0,0
Turks & Caicos Islands,51,13,3.923076923076923,73.6923076923077,179,0,0
Turkmenistan,76,17,4.470588235294118,201,249,0,0
Turkey,36433,4518,8.063966356795042,248.41345728198317,118292,0,0
Tunisia,33273,3322,10.015954244431066,356.1851294400963,106978,0,0
Trinidad & Tobago,4069,604,6.736754966887418,248.49172185430464,13129,0,0
Tonga,104,21,4.9523809523809526,166.33333333333334,355,0,0
Togo,2122,173,12.265895953757225,406.8208092485549,6574,0,0
Timor-Leste,334,42,7.9523809523809526,424.07142857142856,1055,0,0
Thailand,205934,22705,9.069984584893195,238.75036335608897,658530,0,0
Tanzania,12776,2642,4.8357305071915215,186.70401211203634,42348,0,0
Tajikistan,436,68,6.411764705882353,182.85294117647058,1425,0,0
Taiwan,183175,24593,7.448257634286179,238.32228682958566,595369,0,0
São Tomé & Príncipe,88,18,4.888888888888889,190.33333333333334,293,0,0
Syria,117,43,2.7209302325581395,89.81395348837209,419,0,0
Switzerland,228482,19770,11.557005563985838,341.56702073849266,722817,0,0
Sweden,157176,15661,10.036140731754038,325.4504820892663,503714,0,0
Svalbard & Jan Mayen,21,7,3,77.57142857142857,77,0,0
Suriname,752,72,10.444444444444445,401.72222222222223,2367,0,0
Sudan,933,275,3.3927272727272726,92.3490909090909,3190,0,0
St. Vincent & Grenadines,253,49,5.163265306122449,118.46938775510205,847,0,0
St. Martin,1,1,1,7,5,0,0
St. Lucia,309,59,5.237288135593221,176.03389830508473,1027,0,0
St. Kitts & Nevis,1071,60,17.85,550.2666666666667,3343,0,0
Sri Lanka,71750,9297,7.717543293535549,268.43390340970205,233921,0,0
Spain,434650,37474,11.598708437850243,370.74777178844,1375789,0,0
South Sudan,529,174,3.0402298850574714,132.58620689655172,1842,0,0
South Korea,1055188,180136,5.857729715326198,184.19491384287429,3534751,0,0
South Africa,300894,23879,12.600778927090749,469.49419992462,949060,0,0
Somalia,3263,349,9.349570200573066,235.95702005730658,10285,0,0
Solomon Islands,469,37,12.675675675675675,320.4054054054054,1453,0,0
Slovenia,22552,1611,13.998758535071385,390.9584109248914,70169,0,0
