Assignment, Due, Github, File, Marks
Assignment 1, 2025-03-21, 2XBwHan4, "A1.qmd", 10
Assignment 2, 2025-04-16, zO1NnzIe, "A2.qmd", 25
Assignment 3, 2025-04-28, ???, "A3.qmd", 25
Game package 1, 2025-05-16, ???, "Game_package1.qmd", 10
Game package 2, 2025-06-06, ???, "Game_package2.qmd", 30


